well,ref
01,Rhodobacter_sphaeroides
02,Pseudomonas_aeruginosa
03,Enterobacter_cloacae
04,Escherichia_coli-K12_ATCC
05,Bacillus_subtilis
06,Bacillus_cereus
07,Clostridioides_difficile
08,Staphylococcus_epidermidis
09,Rhodobacter_sphaeroides
10,Pseudomonas_aeruginosa
11,Enterobacter_cloacae
12,Escherichia_coli-K12_ATCC
13,Bacillus_subtilis
14,Bacillus_cereus
15,Clostridioides_difficile
16,Staphylococcus_epidermidis
17,Rhodobacter_sphaeroides
18,Pseudomonas_aeruginosa
19,Enterobacter_cloacae
20,Escherichia_coli-K12_ATCC
21,Bacillus_subtilis
22,Bacillus_cereus
23,Clostridioides_difficile
24,Staphylococcus_epidermidis
25,Saccharomyces_cerevisiae
26,Saccharomyces_cerevisiae
27,Saccharomyces_cerevisiae
28,Rhodobacter_sphaeroides
29,Pseudomonas_aeruginosa
30,Enterobacter_cloacae
31,Escherichia_coli-K12_ATCC
32,Bacillus_subtilis
33,Bacillus_cereus
34,Clostridioides_difficile
35,Staphylococcus_epidermidis
36,Rhodobacter_sphaeroides
37,Pseudomonas_aeruginosa
38,Enterobacter_cloacae
39,Escherichia_coli-K12_ATCC
40,Bacillus_subtilis
41,Bacillus_cereus
42,Clostridioides_difficile
43,Staphylococcus_epidermidis
44,Rhodobacter_sphaeroides
45,Pseudomonas_aeruginosa
46,Enterobacter_cloacae
47,Escherichia_coli-K12_ATCC
48,Bacillus_subtilis
49,Bacillus_cereus
50,Clostridioides_difficile
51,Staphylococcus_epidermidis
55,Rhodobacter_sphaeroides
56,Pseudomonas_aeruginosa
57,Enterobacter_cloacae
58,Escherichia_coli-K12_ATCC
59,Bacillus_subtilis
60,Bacillus_cereus
61,Clostridioides_difficile
62,Staphylococcus_epidermidis
63,Rhodobacter_sphaeroides
64,Pseudomonas_aeruginosa
65,Enterobacter_cloacae
66,Escherichia_coli-K12_ATCC
67,Bacillus_subtilis
68,Bacillus_cereus
69,Clostridioides_difficile
70,Staphylococcus_epidermidis
71,Rhodobacter_sphaeroides
72,Pseudomonas_aeruginosa
73,Enterobacter_cloacae
74,Escherichia_coli-K12_ATCC
75,Bacillus_subtilis
76,Bacillus_cereus
77,Clostridioides_difficile
78,Staphylococcus_epidermidis
79,Saccharomyces_cerevisiae
80,Saccharomyces_cerevisiae
81,Saccharomyces_cerevisiae
82,Rhodobacter_sphaeroides
83,Pseudomonas_aeruginosa
84,Enterobacter_cloacae
85,Escherichia_coli-K12_ATCC
86,Bacillus_subtilis
87,Bacillus_cereus
88,Clostridioides_difficile
89,Staphylococcus_epidermidis
90,Rhodobacter_sphaeroides
91,Pseudomonas_aeruginosa
92,Enterobacter_cloacae
93,Escherichia_coli-K12_ATCC
94,Bacillus_subtilis
95,Bacillus_cereus
96,Clostridioides_difficile
97,Staphylococcus_epidermidis
98,Rhodobacter_sphaeroides
99,Pseudomonas_aeruginosa
100,Enterobacter_cloacae
101,Escherichia_coli-K12_ATCC
102,Bacillus_subtilis
103,Bacillus_cereus
104,Clostridioides_difficile
105,Staphylococcus_epidermidis
106,Saccharomyces_cerevisiae
107,Saccharomyces_cerevisiae
108,Saccharomyces_cerevisiae
109,Rhodobacter_sphaeroides
110,Pseudomonas_aeruginosa
111,Enterobacter_cloacae
112,Escherichia_coli-K12_ATCC
113,Bacillus_subtilis
114,Bacillus_cereus
115,Staphylococcus_epidermidis
116,Clostridioides_difficile
117,Rhodobacter_sphaeroides
118,Pseudomonas_aeruginosa
119,Enterobacter_cloacae
120,Escherichia_coli-K12_ATCC
121,Bacillus_subtilis
122,Bacillus_cereus
123,Staphylococcus_epidermidis
124,Clostridioides_difficile
125,Rhodobacter_sphaeroides
126,Pseudomonas_aeruginosa
127,Enterobacter_cloacae
128,Escherichia_coli-K12_ATCC
129,Bacillus_subtilis
130,Bacillus_cereus
131,Staphylococcus_epidermidis
132,Clostridioides_difficile
133,Saccharomyces_cerevisiae
134,Saccharomyces_cerevisiae
135,Saccharomyces_cerevisiae
136,Rhodobacter_sphaeroides
137,Pseudomonas_aeruginosa
138,Enterobacter_cloacae
139,Escherichia_coli-K12_ATCC
140,Bacillus_subtilis
141,Bacillus_cereus
142,Staphylococcus_epidermidis
143,Clostridioides_difficile
144,Rhodobacter_sphaeroides
145,Pseudomonas_aeruginosa
146,Enterobacter_cloacae
147,Escherichia_coli-K12_ATCC
148,Bacillus_subtilis
149,Bacillus_cereus
150,Staphylococcus_epidermidis
151,Clostridioides_difficile
152,Rhodobacter_sphaeroides
153,Pseudomonas_aeruginosa
154,Enterobacter_cloacae
155,Escherichia_coli-K12_ATCC
156,Bacillus_subtilis
157,Bacillus_cereus
158,Staphylococcus_epidermidis
159,Clostridioides_difficile
160,Saccharomyces_cerevisiae
161,Saccharomyces_cerevisiae
162,Saccharomyces_cerevisiae
163,Rhodobacter_sphaeroides
164,Pseudomonas_aeruginosa
165,Enterobacter_cloacae
166,Escherichia_coli-K12_ATCC
167,Bacillus_subtilis
168,Bacillus_cereus
169,Staphylococcus_epidermidis
170,Clostridioides_difficile
171,Rhodobacter_sphaeroides
172,Pseudomonas_aeruginosa
173,Enterobacter_cloacae
174,Escherichia_coli-K12_ATCC
175,Bacillus_subtilis
176,Bacillus_cereus
177,Staphylococcus_epidermidis
178,Clostridioides_difficile
179,Rhodobacter_sphaeroides
180,Pseudomonas_aeruginosa
181,Enterobacter_cloacae
182,Escherichia_coli-K12_ATCC
183,Bacillus_subtilis
184,Bacillus_cereus
185,Staphylococcus_epidermidis
186,Clostridioides_difficile
193,Saccharomyces_cerevisiae
194,Saccharomyces_cerevisiae
195,Saccharomyces_cerevisiae
196,Saccharomyces_cerevisiae
197,Saccharomyces_cerevisiae
198,Saccharomyces_cerevisiae
